type,title,cast,release_year,id,duration_type,duration_int,calificacion,califPromedio
movie,real american hero,"brian dennehy, forrest tucker, ken howard, sheree north, brian kerwin, lane bradbury",1978,as1200,min,90,1.0,3.5
tv show,ready jet go!,,2016,as1201,season,1,3.0,3.5
tv show,reading rainbow,,1997,as1202,seasons,2,3.0,3.5
tv show,reading egg's the eggsperts,,2014,as1203,season,1,3.0,3.6
movie,reaching for the moon,"douglas fairbanks, bebe daniels",1930,as1204,min,73,4.0,3.5
tv show,re:creators,"daiki yamashita, mikako komatsu, inori minase, yoko hikasa, rie murakawa",2017,as1205,season,1,4.0,3.5
tv show,rasbhari (4k uhd),"swara bhasker, ayushmaan saxena, rashmi agdekar, chittranjan tripathy, neelu kohli, pradhuman singh mall",2020,as1206,season,1,5.0,3.5
tv show,rasbhari,"swara bhasker, ayushmaan saxena, rashmi agdekar, chittranjan tripathy, neelu kohli, pradhuman singh mall",2020,as1207,season,1,4.0,3.5
movie,ranger and the lady,"roy rogers, george ""gabby"" hayes, julie bishop, harry woods, henry brandon",1940,as1208,min,53,5.0,3.6
movie,rangasthalam,"ram charan, samantha akkineni, aadhi pinisetty, anasuya bharadwaj, jagapati babu",2018,as1209,min,174,5.0,3.5
movie,rampage: capital punishment,"brendan fletcher, lochlyn munro, mike dopud",2014,as1210,min,93,3.0,3.6
movie,rampage,"brendan fletcher, shaun sipos, michael paré",2011,as1211,min,85,3.0,3.5
movie,rammstein: paris,rammstein,2017,as1212,min,128,3.0,3.6
movie,rammstein: in amerika (documentaries),rammstein,2015,as1213,min,144,3.0,3.5
movie,rallying - the killer years,,2012,as1214,min,52,3.5,3.6
tv show,rakuen the secret of paradise,kazuyoshi miyoshi,2017,as1215,season,1,3.0,3.6
movie,raising victor vargas,"victor rasuk, donna maldonado, kevin rivera, krystal rodriguez, judy marte, melonie diaz",2003,as1216,min,88,3.5,3.5
tv show,raising asia,"asia ray monet, bill hufsey",2014,as1217,season,1,4.0,3.5
tv show,rainbow ruby,,2016,as1218,season,1,4.0,3.5
tv show,rain shadow,"rachel ward, grant piro, victoria thaine, tom o'sullivan, shane withington, edwing hodgeman, kim knuckey, heather mitchell, gary sweet, nathan butler, jude henshall, nathaniel dean, michaela cantwell, amanda barkley, craig behanna, sarah brokensha, susie fraser, panda likoudis, ksenia logos, kerry ann reid, heather riddell, lily robinson, anna steen, marco venturini, paul zweck, carmel johnson, jamie harding, jeff ladn, kyan burns, shane hatchard, philip monoghan",2007,as1219,season,1,5.0,3.5
movie,rain on leaves (short),,2012,as1220,min,7,4.0,3.6
